career_waitlist | career_waitlist_source_check | CHECK ((source = ANY (ARRAY['email'::text, 'banner'::text, 'direct'::text])))
career_waitlist | career_waitlist_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE SET NULL
cleanup_logs | cleanup_logs_pkey | PRIMARY KEY (id)
coach_memory | coach_memory_pkey | PRIMARY KEY (user_id)
coach_memory | coach_memory_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
comp_entries | comp_entries_pkey | PRIMARY KEY (id)
comp_entries | comp_entries_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
conversations | conversations_pkey | PRIMARY KEY (id)
conversations | conversations_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
cover_letters | cover_letters_application_id_fkey | FOREIGN KEY (application_id) REFERENCES applications(id) ON DELETE SET NULL
cover_letters | cover_letters_pkey | PRIMARY KEY (id)
cover_letters | cover_letters_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
cover_letters | cover_letters_user_resume_id_fkey | FOREIGN KEY (user_resume_id) REFERENCES user_resumes(id) ON DELETE SET NULL
drip_emails | drip_emails_audience_check | CHECK ((audience = ANY (ARRAY['leads'::text, 'free-users'::text, 'trial-users'::text, 'paid-users'::text])))
drip_emails | drip_emails_email_template_id_key | UNIQUE (email, template_id)
drip_emails | drip_emails_pkey | PRIMARY KEY (id)
drip_emails | drip_emails_status_check | CHECK ((status = ANY (ARRAY['pending'::text, 'sent'::text, 'failed'::text, 'cancelled'::text])))
drip_emails | drip_emails_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
email_preferences | email_preferences_pkey | PRIMARY KEY (user_id)
email_preferences | email_preferences_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
interview_prep | interview_prep_pkey | PRIMARY KEY (id)
interview_prep | interview_prep_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id)
interview_prep | interview_prep_user_resume_id_fkey | FOREIGN KEY (user_resume_id) REFERENCES user_resumes(id) ON DELETE SET NULL
job_fit_analysis | job_fit_analysis_application_id_fkey | FOREIGN KEY (application_id) REFERENCES applications(id) ON DELETE CASCADE
job_fit_analysis | job_fit_analysis_fit_score_check | CHECK (((fit_score >= 0) AND (fit_score <= 100)))
job_fit_analysis | job_fit_analysis_pkey | PRIMARY KEY (id)
job_fit_analysis | job_fit_analysis_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
job_fit_analysis | job_fit_analysis_user_resume_id_fkey | FOREIGN KEY (user_resume_id) REFERENCES user_resumes(id) ON DELETE SET NULL
linkedin_profiles | linkedin_profiles_application_id_fkey | FOREIGN KEY (application_id) REFERENCES applications(id) ON DELETE CASCADE
linkedin_profiles | linkedin_profiles_pkey | PRIMARY KEY (id)
linkedin_profiles | linkedin_profiles_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
linkedin_profiles_new | linkedin_profiles_new_pkey | PRIMARY KEY (id)
linkedin_profiles_new | linkedin_profiles_new_profile_url_key | UNIQUE (profile_url)
profiles | ai_analyses_used_non_negative | CHECK ((ai_analyses_used >= 0))
profiles | profiles_career_mode_check | CHECK ((career_mode = ANY (ARRAY['job_seeking'::text, 'employed'::text, 'exploring'::text])))
profiles | profiles_email_key | UNIQUE (email)
profiles | profiles_id_fkey | FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
profiles | profiles_pkey | PRIMARY KEY (id)
promo_code_usage | promo_code_usage_pkey | PRIMARY KEY (id)
promo_code_usage | promo_code_usage_type_check | CHECK ((type = ANY (ARRAY['discount'::text, 'free_forever'::text, 'trial'::text])))
promo_code_usage | promo_code_usage_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
promo_codes | promo_codes_code_key | UNIQUE (code)
promo_codes | promo_codes_code_type_check | CHECK ((code_type = ANY (ARRAY['trial'::text, 'discount'::text, 'premium_free'::text])))
promo_codes | promo_codes_discount_amount_check | CHECK ((discount_amount >= 0))
promo_codes | promo_codes_discount_duration_check | CHECK ((discount_duration = ANY (ARRAY['once'::text, 'repeating'::text, 'forever'::text])))
promo_codes | promo_codes_discount_percent_check | CHECK (((discount_percent >= 0) AND (discount_percent <= 100)))
promo_codes | promo_codes_pkey | PRIMARY KEY (id)
resume_analysis | resume_analysis_pkey | PRIMARY KEY (id)
resume_analysis | resume_analysis_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id)
resume_analysis | resume_analysis_user_resume_id_fkey | FOREIGN KEY (user_resume_id) REFERENCES user_resumes(id) ON DELETE SET NULL
roasts | roasts_pkey | PRIMARY KEY (id)
roasts | roasts_shareable_id_key | UNIQUE (shareable_id)
roasts | roasts_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL
scheduled_notifications | scheduled_notifications_pkey | PRIMARY KEY (id)
scheduled_notifications | scheduled_notifications_status_check | CHECK ((status = ANY (ARRAY['pending'::text, 'sent'::text, 'failed'::text, 'cancelled'::text])))
scheduled_notifications | scheduled_notifications_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
stock_prices | stock_prices_pkey | PRIMARY KEY (ticker)
subscription_plans | subscription_plans_pkey | PRIMARY KEY (id)
tailored_resumes | tailored_resumes_application_id_fkey | FOREIGN KEY (application_id) REFERENCES applications(id) ON DELETE CASCADE
tailored_resumes | tailored_resumes_application_unique | UNIQUE (user_id, application_id)
tailored_resumes | tailored_resumes_pkey | PRIMARY KEY (id)
tailored_resumes | tailored_resumes_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
trial_history | trial_history_pkey | PRIMARY KEY (id)
trial_history | trial_history_plan_id_fkey | FOREIGN KEY (plan_id) REFERENCES subscription_plans(id)
trial_history | trial_history_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
trial_history | trial_history_user_id_key | UNIQUE (user_id)
usage_tracking | unique_user_usage | UNIQUE (user_id)
